num,CVE_ESTADO,DES_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
2618,19,Nuevo León,137,Enteritis debida a rotavirus,A08.0,74,7,14,5,3,4,2,3,1,2,0,2,0,15,8,3,48,0,0,0,0,0,8,16,23,2,6,2,1,3,1,2,1,9,2015,4,9,11,1,2,0,2,0,2,0,0,0,43,31,9,7,3,24,0,0,0,0,0,6,1,0,24,0,0,0,0,0,4,10,15,2,2,1,0,1,1,2,0,5,4,6,8,0,4,1,1,2,0,0,1,4
2619,19,Nuevo León,14,Otras helmintiasis,"B65-B67, B70-B76, B78, B79, B81-B83",1423,12,160,128,58,26,35,108,16,39,13,29,0,65,1250,2,101,0,0,5,0,0,106,130,140,101,167,187,106,121,100,92,115,58,2015,10,192,191,55,24,34,123,44,42,32,52,0,624,799,30,547,1,44,0,0,2,0,0,35,703,1,57,0,0,3,0,0,41,61,60,33,67,76,47,62,42,46,60,29,65,69,80,68,100,111,59,59,58,46,55,29
2620,19,Nuevo León,144,Leishmaniasis visceral,B55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621,19,Nuevo León,145,Leishmaniasis cutánea,B55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,19,Nuevo León,146,Enfermedad por virus Chikungunya,A92.0,64,0,1,0,8,3,1,13,1,1,1,2,0,12,49,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,22,31,6,2015,0,0,0,4,3,4,9,4,3,3,3,0,31,33,4,27,0,0,0,0,0,0,0,8,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,16,4,0,0,0,0,0,0,1,2,0,13,15,2
2623,19,Nuevo León,147,Síndrome febril,R50,5062,134,434,301,283,202,128,413,63,95,41,88,1,2598,1039,30,1392,0,0,3,0,0,158,144,331,674,491,709,407,545,424,392,577,210,2015,150,429,292,225,219,213,777,181,220,58,115,0,2183,2879,983,511,14,672,0,0,3,0,0,1615,528,16,720,0,0,0,0,0,73,65,135,288,219,305,180,248,180,166,228,96,85,79,196,386,272,404,227,297,244,226,349,114
2624,19,Nuevo León,148,Efectos del calor y de la luz,T67,165,6,6,5,6,4,3,24,3,2,2,9,0,18,125,0,22,0,0,0,0,0,0,0,4,17,13,29,25,52,13,4,6,2,2015,3,12,3,7,5,4,42,11,4,3,1,0,70,95,8,57,0,5,0,0,0,0,0,10,68,0,17,0,0,0,0,0,0,0,1,11,8,9,11,18,7,2,2,1,0,0,3,6,5,20,14,34,6,2,4,1
2625,19,Nuevo León,149,Adicciones,F10-F19 excepto F10.0,967,0,0,1,81,151,65,229,36,59,14,26,0,555,380,0,31,0,0,1,0,0,24,54,59,94,115,112,97,85,98,66,103,60,2015,0,0,0,28,59,15,163,20,13,2,4,1,662,305,306,334,0,22,0,0,0,0,0,249,46,0,9,0,0,1,0,0,17,29,39,63,63,72,70,65,78,52,71,43,7,25,20,31,52,40,27,20,20,14,32,17
2626,19,Nuevo León,15,Faringitis y amigdalitis estreptocócicas,"J02.0, J03.0",1421,9,111,127,73,47,38,127,28,29,18,24,0,91,491,201,323,0,0,0,315,0,125,129,107,89,185,257,110,132,67,55,97,68,2015,34,116,118,59,45,72,166,64,67,29,20,0,631,790,38,198,97,140,0,0,0,158,0,53,293,104,183,0,0,0,157,0,51,57,34,38,75,128,54,61,28,30,45,30,74,72,73,51,110,129,56,71,39,25,52,38
2627,19,Nuevo León,150,Cirrosis hepática alcohólica,K70.3,169,0,0,0,0,0,1,18,20,47,24,38,0,18,108,0,43,0,0,0,0,0,8,11,9,15,20,15,16,23,7,16,19,10,2015,0,0,0,0,0,1,8,1,2,0,9,0,148,21,13,105,0,30,0,0,0,0,0,5,3,0,13,0,0,0,0,0,3,4,8,13,19,13,16,22,7,16,18,9,5,7,1,2,1,2,0,1,0,0,1,1
2628,19,Nuevo León,151,Hiperplasia de la próstata},N40,3703,0,0,0,0,0,0,109,139,771,639,2005,40,237,2677,0,773,0,0,12,4,0,120,128,171,361,454,377,377,397,323,342,423,230,2015,0,0,0,0,0,0,0,0,0,0,0,0,3703,0,237,2677,0,773,0,0,12,4,0,0,0,0,0,0,0,0,0,0,120,128,171,361,454,377,377,397,323,342,423,230,0,0,0,0,0,0,0,0,0,0,0,0
2629,19,Nuevo León,152,Hipotermia,T68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,19,Nuevo León,153,Intoxicación por monoxido de carbono,T58,10,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,5,0,1,0,0,1,0,2,0,0,0,1,2015,0,0,1,0,0,1,3,0,0,0,1,0,4,6,0,1,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1
2631,19,Nuevo León,155,Anorexia y bulimia,F50,85,0,0,3,2,4,2,3,0,0,0,3,1,10,57,0,14,0,0,4,0,0,3,0,4,8,9,11,7,12,6,8,10,7,2015,0,0,9,15,13,8,14,3,1,1,0,3,18,67,3,10,0,3,0,0,2,0,0,7,47,0,11,0,0,2,0,0,1,0,0,2,1,5,1,1,2,2,3,0,2,0,4,6,8,6,6,11,4,6,7,7
2632,19,Nuevo León,16,Infecciones respiratorias agudas,"J00-J06, J20, J21 excepto J02.0 y J03.0",1191366,50249,123206,78317,45977,25942,28724,79735,20959,27146,13441,25444,196,353820,548879,50689,225720,265,0,11422,571,0,132322,130422,142423,82339,75967,86507,61785,72601,81932,92829,129323,102916,2015,46082,114884,77044,46029,33034,38362,144337,43440,63155,23966,41564,133,519336,672030,148351,243495,17453,104395,121,0,5241,280,0,205469,305384,33236,121325,144,0,6181,291,0,56361,55754,61172,36434,34027,38734,27441,32433,36745,40680,55852,43703,75961,74668,81251,45905,41940,47773,34344,40168,45187,52149,73471,59213
2633,19,Nuevo León,169,Depresión,F32,2854,0,0,5,58,46,36,147,46,84,60,162,0,526,1772,93,438,0,0,17,8,0,60,94,168,274,292,398,299,339,286,253,248,143,2015,0,0,8,69,114,134,725,262,377,171,349,1,644,2210,128,367,47,93,0,0,7,2,0,398,1405,46,345,0,0,10,6,0,10,21,43,70,63,76,77,77,64,56,55,32,50,73,125,204,229,322,222,262,222,197,193,111
2634,19,Nuevo León,17,Neumonías y bronconeumonías,"J12-J18 excepto J18.2, J13 y J14",9942,775,918,322,155,119,113,487,224,331,241,1366,5,1959,4940,222,2791,0,0,30,0,0,1872,1442,1609,662,448,528,507,543,422,499,707,703,2015,585,782,271,162,117,147,510,213,395,278,1422,4,5056,4886,991,2566,77,1409,0,0,13,0,0,968,2374,145,1382,0,0,17,0,0,876,743,801,323,251,307,255,295,224,264,359,358,996,699,808,339,197,221,252,248,198,235,348,345
2635,19,Nuevo León,170,Enfermedad de Parkinson{,G20,383,0,0,0,0,0,1,4,11,30,28,114,0,13,212,0,158,0,0,0,0,0,20,17,27,25,49,36,24,35,31,19,27,73,2015,0,0,0,0,0,4,11,4,26,67,83,0,188,195,3,118,0,67,0,0,0,0,0,10,94,0,91,0,0,0,0,0,15,11,18,12,28,16,10,21,25,9,12,11,5,6,9,13,21,20,14,14,6,10,15,62
2636,19,Nuevo León,171,Enfermedad de Alzheimer+,G30,143,0,0,0,0,0,0,0,0,0,4,37,0,4,130,0,8,0,0,1,0,0,1,2,2,11,18,10,17,21,15,21,20,5,2015,0,0,0,0,0,0,0,0,2,6,94,0,41,102,0,39,0,2,0,0,0,0,0,4,91,0,6,0,0,1,0,0,0,1,0,1,2,4,3,10,7,5,8,0,1,1,2,10,16,6,14,11,8,16,12,5
2637,19,Nuevo León,172,Herida por arma de fuego y punzocortantes,W32-W34,573,0,0,2,8,98,114,215,33,13,8,13,0,21,3,0,549,0,0,0,0,0,24,56,54,39,46,49,62,106,43,44,30,20,2015,0,0,1,3,11,21,22,3,7,0,1,0,504,69,17,3,0,484,0,0,0,0,0,4,0,0,65,0,0,0,0,0,19,50,51,37,37,43,50,91,42,38,30,16,5,6,3,2,9,6,12,15,1,6,0,4
2638,19,Nuevo León,173,Conjuntivitis,H10,45616,1378,2492,2022,1440,986,1967,5964,1228,1523,574,1230,11,10348,24783,2143,7785,4,0,475,78,0,1404,1757,3166,5356,4501,5417,4330,5863,4103,3566,3775,2378,2015,1230,2259,1829,1520,1284,2088,7507,1789,2670,959,1622,44,20815,24801,4331,11812,718,3665,4,0,246,39,0,6017,12971,1425,4120,0,0,229,39,0,584,766,1473,2540,2070,2459,2012,2679,1849,1596,1685,1102,820,991,1693,2816,2431,2958,2318,3184,2254,1970,2090,1276
2639,19,Nuevo León,174,"Contacto traumatico con avispas, avispones y abejas",X23,160,0,8,19,3,9,4,16,7,9,3,5,0,71,22,3,63,0,0,1,0,0,3,2,8,5,6,36,31,23,13,17,11,5,2015,0,9,7,5,8,9,24,3,5,3,4,0,83,77,44,12,1,25,0,0,1,0,0,27,10,2,38,0,0,0,0,0,1,1,5,5,1,16,16,13,6,12,5,2,2,1,3,0,5,20,15,10,7,5,6,3
2640,19,Nuevo León,175,Tifo epidémico,A75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641,19,Nuevo León,176,Enfermedad invasiva por neumococo,"A40.3, G00.1, J13",4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2015,1,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
2642,19,Nuevo León,177,Otras salmonelosis,A02,313,0,3,8,2,4,9,33,2,3,2,4,0,11,274,1,27,0,0,0,0,0,7,4,3,27,44,52,38,29,28,31,38,12,2015,2,2,10,13,17,34,102,23,27,5,8,0,70,243,2,61,0,7,0,0,0,0,0,9,213,1,20,0,0,0,0,0,3,2,1,1,12,14,5,6,5,10,7,4,4,2,2,26,32,38,33,23,23,21,31,8
2643,19,Nuevo León,178,Fiebre Paratifoidea A,A01.1,376,1,55,55,30,6,2,12,0,5,2,1,0,24,1,91,6,0,0,0,254,0,24,23,39,32,32,41,41,37,47,12,19,29,2015,9,59,58,11,7,9,27,14,4,7,2,0,169,207,7,0,33,1,0,0,0,128,0,17,1,58,5,0,0,0,126,0,11,10,20,13,15,17,18,17,23,4,8,13,13,13,19,19,17,24,23,20,24,8,11,16
2644,19,Nuevo León,179,Vulvovaginitis aguda^,N76.0,11721,0,0,0,0,0,0,0,0,0,0,0,0,4963,5150,0,1572,1,0,29,6,0,386,447,737,972,1081,1238,946,1231,991,1276,1675,741,2015,0,23,66,189,908,1718,5964,1193,1033,335,292,0,0,11721,0,0,0,0,0,0,0,0,0,4963,5150,0,1572,1,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,386,447,737,972,1081,1238,946,1231,991,1276,1675,741
2645,19,Nuevo León,18,Otitis media aguda,H65.0-H65.1,52484,1212,5233,4171,2601,1576,1276,2812,1223,1181,595,660,15,26027,2449,2869,20752,80,0,284,23,0,5297,5364,6374,4124,3898,4334,3529,4064,3594,3768,4752,3386,2015,1206,5004,4513,2748,2148,2006,6249,2013,2203,818,1019,2,22555,29929,10258,1081,1050,9983,47,0,127,9,0,15769,1368,1819,10769,33,0,157,14,0,2236,2328,2732,1737,1684,1885,1487,1737,1532,1633,2049,1515,3061,3036,3642,2387,2214,2449,2042,2327,2062,2135,2703,1871
2646,19,Nuevo León,180,Otras rickettsiosis,A79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647,19,Nuevo León,181,Afección nosocomial,Y95,101,18,4,2,3,0,0,2,2,2,1,3,0,100,0,0,1,0,0,0,0,0,5,2,2,3,1,2,1,4,4,7,41,29,2015,20,7,0,3,6,10,14,3,1,0,0,0,37,64,36,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,1,0,2,16,11,2,1,2,1,1,1,1,3,4,5,25,18
2648,19,Nuevo León,183,Infección por Virus Zika,A92.5,4,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2649,19,Nuevo León,19,Tuberculosis respiratoria,A15-A16,1148,0,0,1,8,40,68,278,86,118,54,97,0,575,522,27,24,0,0,0,0,0,87,92,94,104,111,94,101,83,106,123,78,75,2015,1,0,2,9,30,54,118,22,72,22,68,0,750,398,388,338,16,8,0,0,0,0,0,187,184,11,16,0,0,0,0,0,58,61,65,70,72,61,68,53,64,76,56,46,29,31,29,34,39,33,33,30,42,47,22,29
2650,19,Nuevo León,20,Candidiasis urogenital#,B37.3-B37.4,7663,0,0,0,5,10,23,81,30,20,26,37,0,4521,1222,21,1792,91,0,7,9,0,603,625,810,535,488,751,562,716,581,609,984,399,2015,0,0,0,88,660,1119,3699,816,658,242,149,0,232,7431,118,34,1,78,0,0,1,0,0,4403,1188,20,1714,91,0,6,9,0,34,10,49,25,19,16,12,24,7,15,16,5,569,615,761,510,469,735,550,692,574,594,968,394
2651,19,Nuevo León,21,Chancro blando#,A57,29,0,0,0,0,0,2,8,3,1,1,5,0,8,20,0,1,0,0,0,0,0,3,1,2,1,1,1,1,5,4,2,5,3,2015,0,0,0,0,0,0,5,0,3,0,1,0,20,9,7,13,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,2,1,0,1,0,4,3,1,4,3,2,1,0,0,1,0,1,1,1,1,1,0
2652,19,Nuevo León,22,Herpes genital#,A60.0,186,0,0,0,0,5,19,44,4,4,4,3,0,34,148,0,3,0,0,1,0,0,13,9,16,12,13,15,20,28,18,13,25,4,2015,0,0,0,0,11,22,54,6,7,2,1,0,83,103,11,70,0,1,0,0,1,0,0,23,78,0,2,0,0,0,0,0,8,4,6,5,6,5,11,17,8,6,6,1,5,5,10,7,7,10,9,11,10,7,19,3
2653,19,Nuevo León,23,Infección gonocócica del tracto genitourinario#,A54.0-A54.2,61,0,0,0,0,7,7,20,2,2,1,0,0,34,27,0,0,0,0,0,0,0,5,5,5,6,4,4,5,7,6,3,3,8,2015,0,0,0,0,2,4,12,2,2,0,0,0,39,22,16,23,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,5,4,3,3,2,3,3,5,4,3,2,2,0,1,2,3,2,1,2,2,2,0,1,6
2654,19,Nuevo León,24,Linfogranuloma venéreo por clamidias#,A55,17,0,0,0,0,0,1,5,2,1,0,0,0,8,4,0,5,0,0,0,0,0,0,0,4,0,2,1,3,2,2,2,1,0,2015,0,0,0,1,1,0,4,0,2,0,0,0,9,8,5,4,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,1,0,0,0,4,0,1,0,1,0,2,0,0,0
2655,19,Nuevo León,25,Sífilis adquiridaº,A51-A53,218,0,0,0,0,4,13,60,12,10,5,2,0,97,119,1,1,0,0,0,0,0,54,27,14,12,16,14,28,15,5,10,8,15,2015,0,0,0,0,13,32,52,8,6,0,1,0,106,112,19,86,1,0,0,0,0,0,0,78,33,0,1,0,0,0,0,0,12,6,5,9,12,8,18,11,4,5,5,11,42,21,9,3,4,6,10,4,1,5,3,4
2656,19,Nuevo León,26,Tricomoniasis urogenital#,A59.0,1770,0,0,0,0,1,14,22,10,9,2,0,0,928,254,4,582,2,0,0,0,0,142,161,240,169,144,161,113,165,127,142,137,69,2015,0,0,0,11,141,286,890,203,123,45,12,1,58,1712,20,8,0,30,0,0,0,0,0,908,246,4,552,2,0,0,0,0,3,6,12,5,2,10,5,6,1,5,2,1,139,155,228,164,142,151,108,159,126,137,135,68
2657,19,Nuevo León,27,Fiebre por dengue,A90,827,0,9,28,37,35,23,88,31,29,7,18,0,654,154,1,17,0,0,1,0,0,18,36,45,70,59,95,71,82,69,143,121,18,2015,1,8,14,33,51,43,175,58,74,24,41,0,305,522,235,63,0,7,0,0,0,0,0,419,91,1,10,0,0,1,0,0,9,13,17,22,18,41,25,31,30,54,39,6,9,23,28,48,41,54,46,51,39,89,82,12
2658,19,Nuevo León,28,Paludismo por Plasmodium vivax,B51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2659,19,Nuevo León,29,Brucelosis,A23,199,0,5,5,6,8,6,20,8,17,5,7,0,133,51,8,7,0,0,0,0,0,6,14,6,12,13,27,29,23,33,7,18,11,2015,0,2,7,10,8,11,33,11,17,4,9,0,87,112,60,20,3,4,0,0,0,0,0,73,31,5,3,0,0,0,0,0,5,8,3,5,5,6,10,13,16,7,6,3,1,6,3,7,8,21,19,10,17,0,12,8
2660,19,Nuevo León,30,Cisticercosis,B69,11,0,0,0,0,0,0,3,0,1,0,2,0,0,11,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,1,2,2,2015,0,0,0,0,1,0,1,1,2,0,0,0,6,5,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1
2661,19,Nuevo León,31,Rabia,A82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2662,19,Nuevo León,32,Rubéola,B06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2663,19,Nuevo León,33,Varicela,B01,11417,469,2385,1739,439,213,243,507,26,13,6,19,0,2744,6727,508,1366,0,0,63,9,0,921,1034,1629,1261,1135,1193,688,640,545,621,1004,746,2015,473,2190,1623,416,163,183,235,21,29,10,14,1,6059,5358,1392,3750,175,708,0,0,28,6,0,1352,2977,333,658,0,0,35,3,0,452,554,873,657,617,655,354,347,290,339,535,386,469,480,756,604,518,538,334,293,255,282,469,360
2664,19,Nuevo León,34,Escarlatina,A38,134,10,35,21,9,0,2,2,0,0,0,0,0,26,61,0,45,0,0,2,0,0,10,19,12,9,21,12,7,8,3,12,11,10,2015,4,23,17,4,0,2,3,1,1,0,0,0,79,55,13,39,0,26,0,0,1,0,0,13,22,0,19,0,0,1,0,0,3,11,6,7,11,8,4,5,2,8,7,7,7,8,6,2,10,4,3,3,1,4,4,3
2665,19,Nuevo León,35,Erisipela,A46,2006,1,11,7,11,16,54,279,115,239,93,217,0,58,1833,14,96,0,0,5,0,0,96,98,122,166,206,241,179,318,195,148,141,96,2015,4,9,6,11,8,10,203,80,209,89,333,1,1043,963,29,950,5,56,0,0,3,0,0,29,883,9,40,0,0,2,0,0,58,61,61,96,101,124,80,168,87,75,80,52,38,37,61,70,105,117,99,150,108,73,61,44
2666,19,Nuevo León,36,Conjuntivitis hemorrágica epidémica,B30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2667,19,Nuevo León,37,Hepatitis vírica A,B15,116,7,10,6,5,3,4,9,2,2,1,0,0,57,51,3,5,0,0,0,0,0,15,4,13,13,11,17,6,8,13,7,4,5,2015,2,9,7,4,12,10,18,1,3,0,1,0,49,67,15,28,2,4,0,0,0,0,0,42,23,1,1,0,0,0,0,0,10,2,4,4,3,10,2,3,5,3,1,2,5,2,9,9,8,7,4,5,8,4,3,3
2668,19,Nuevo León,38,Hepatitis vírica B,B16,37,1,0,0,0,0,2,13,6,1,2,1,0,4,29,3,1,0,0,0,0,0,3,3,2,4,2,0,3,6,4,5,5,0,2015,0,1,0,4,0,1,4,0,0,0,1,0,26,11,1,22,3,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,3,3,2,3,1,0,2,6,3,1,2,0,0,0,0,1,1,0,1,0,1,4,3,0
2669,19,Nuevo León,39,"Hepatitis víricas, otras","B17-B19 excepto B17.1, B18.2",38,1,4,2,1,0,1,3,0,0,2,1,0,15,15,0,8,0,0,0,0,0,1,3,3,3,3,5,2,4,3,5,6,0,2015,0,6,1,1,2,2,7,1,2,0,1,0,15,23,4,5,0,6,0,0,0,0,0,11,10,0,2,0,0,0,0,0,0,0,2,2,0,2,0,3,3,3,0,0,1,3,1,1,3,3,2,1,0,2,6,0
2670,19,Nuevo León,40,Meningitis meningocócica,A39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2671,19,Nuevo León,41,Meningitis,"G00-G03 excepto G00.0, G00.1",60,9,5,0,6,1,3,2,8,1,5,2,0,3,54,0,3,0,0,0,0,0,4,4,1,4,10,6,4,12,4,6,3,2,2015,7,1,0,2,1,0,2,0,4,0,1,0,42,18,0,41,0,1,0,0,0,0,0,3,13,0,2,0,0,0,0,0,0,2,1,3,5,6,3,12,4,2,2,2,4,2,0,1,5,0,1,0,0,4,1,0
2672,19,Nuevo León,42,Parotiditis infecciosa,B26,197,0,23,19,13,3,2,15,6,9,1,5,0,33,132,6,24,0,0,2,0,0,24,21,20,7,12,20,13,24,12,16,16,12,2015,1,15,22,16,0,1,27,4,9,1,5,0,96,101,12,65,5,13,0,0,1,0,0,21,67,1,11,0,0,1,0,0,14,6,8,5,6,7,8,13,5,11,6,7,10,15,12,2,6,13,5,11,7,5,10,5
2673,19,Nuevo León,43,Escabiosis,B86,17548,462,1415,1528,1057,444,368,1035,259,350,130,350,2,8566,6464,127,2078,118,0,195,0,0,1515,1276,1577,1503,1384,1959,1328,1198,1238,1337,1961,1272,2015,444,1291,1430,1157,809,626,2353,604,747,226,458,3,7400,10148,3346,2868,45,1009,42,0,90,0,0,5220,3596,82,1069,76,0,105,0,0,643,549,646,589,570,831,571,511,502,572,831,585,872,727,931,914,814,1128,757,687,736,765,1130,687
2674,19,Nuevo León,44,Tuberculosis meníngea,A17.0,16,0,0,1,0,0,1,6,2,2,0,0,0,5,8,1,2,0,0,0,0,0,1,2,1,0,1,0,2,1,2,2,2,2,2015,0,1,0,0,0,0,3,0,0,0,0,0,12,4,4,6,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,2,1,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,2
2675,19,Nuevo León,45,Tuberculosis otras formas,"A17.1, A17.8, A17.9, A18-A19",209,0,1,2,1,7,13,49,6,17,4,14,0,74,112,13,10,0,0,0,0,0,11,17,12,11,21,18,24,16,19,27,15,18,2015,1,3,1,1,4,10,42,4,12,4,13,0,114,95,47,57,6,4,0,0,0,0,0,27,55,7,6,0,0,0,0,0,8,6,8,5,14,11,11,11,9,15,7,9,3,11,4,6,7,7,13,5,10,12,8,9
2676,19,Nuevo León,46,Fiebre reumática aguda,I00-I02,27,0,0,0,0,0,0,4,0,0,0,0,0,3,1,13,10,0,0,0,0,0,1,5,0,1,1,1,1,1,2,4,4,6,2015,0,0,0,1,2,1,8,0,3,2,5,1,4,23,1,0,0,3,0,0,0,0,0,2,1,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,5,0,1,0,1,1,1,2,4,4,3
